Category,Film,Nominee,Winner,Year,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Nom_BAFTA,Win_BAFTA,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Nom_Oscar_bestfilm,Birthyear,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75],Age_[75+],Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_thriller,Genre_war,Genre_sport,Genre_family,Genre_filmnoir,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice,Nowin_SAG_acting,Win_SAG_acting,Nonom_SAG_acting,Nom_SAG_acting,Nowin_SAG_bestcast,Win_SAG_bestcast,Nonom_SAG_bestcast,Nom_SAG_bestcast,Female,Total Nominations Other Shows,Total Wins Other Shows,Win_GoldenGlobe_bestdirector,Win_DGA,Nom_GoldenGlobe_bestdirector,Nom_DGA,Oscarstat_previouswins_bestdirector,Oscarstat_previousnominations_bestdirector,Nom_Oscar_bestdirector,Nom_GoldenGlobe_bestcomedy,Nom_GoldenGlobe_bestdrama,Win_GoldenGlobe_bestcomedy,Win_GoldenGlobe_bestdrama,Nowin_PGA,Win_PGA,Nonom_PGA,Nom_PGA,Unnamed: 0,year_ceremony,category,film,winner,year_film,domestic_gross,international_gross,budget,net_revenue
Actor,Eastern Promises,Viggo Mortensen,0,2008,7.7,9/21/07,83,89,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1958,50,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Milk,Sean Penn,1,2009,7.6,1/30/09,89,94,8,1,0,0,0,1,0,0,0,1,0,0,0,4,1,1,1,1,1960,49,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Visitor,Richard Jenkins,0,2009,7.7,5/23/08,84,89,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,62,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Frost/Nixon,Frank Langella,0,2009,7.7,1/23/09,88,92,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1938,71,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Curious Case of Benjamin Button,Brad Pitt,0,2009,7.8,12/25/08,80,72,13,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1963,46,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Wrestler,Mickey Rourke,0,2009,7.9,1/30/09,88,98,2,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1952,57,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Crazy Heart,Jeff Bridges,1,2010,7.3,2/5/10,76,91,2,1,0,0,0,1,0,0,0,1,1,0,0,4,0,1,0,0,1949,61,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Up in the Air,George Clooney,0,2010,7.4,12/23/09,79,91,6,0,0,0,1,1,0,0,0,1,0,0,0,2,1,1,1,1,1961,49,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,A Single Man,Colin Firth,0,2010,7.6,2/5/10,81,85,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1960,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Invictus,Morgan Freeman,0,2010,7.4,12/11/09,74,76,2,0,0,0,1,0,0,0,0,1,0,0,0,4,1,1,1,0,1937,73,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Hurt Locker,Jeremy Renner,0,2010,7.6,7/31/09,84,98,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1971,39,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
